"lengthFeet","speedLimit","numLanes","dividedTraffic","trafficLights","stopSigns","pedCrossings","dayOfWeek","holiday","timeOfDayMinutes","cloudWeather","cloudTraffic","cloudEvent","localWeather","localTraffic","localEvent","actualTravelTimeSeconds"
900,45,1,1,1,1,0,2,0,192,1,0,0,1,0,0,24
900,35,2,0,3,0,2,4,0,967,3,1,0,3,1,0,52
2700,45,2,0,1,0,0,3,0,1372,0,2,0,1,2,0,78
2400,15,2,0,3,2,0,0,0,778,2,1,0,2,1,0,328
2100,25,3,1,0,2,0,4,0,542,2,3,0,2,3,0,176
2100,15,1,0,1,0,2,4,0,343,0,0,0,0,0,0,114
3000,15,1,0,2,0,3,3,0,840,0,0,0,0,1,0,212
1200,15,2,1,1,3,0,1,0,367,3,0,0,3,1,0,180
2100,55,2,0,0,2,1,2,0,224,1,0,0,1,0,0,53
2400,15,1,0,0,3,0,4,0,480,1,2,0,2,2,0,360
2100,55,1,1,0,2,2,5,0,479,1,2,0,1,1,0,65
2700,35,2,0,0,0,1,0,0,960,0,2,0,0,2,0,86
2700,55,2,1,0,1,1,3,1,971,1,3,0,1,3,0,85
2400,15,2,1,1,0,1,5,0,661,0,1,0,0,1,0,125
900,45,1,1,0,1,1,6,0,664,1,3,0,1,3,0,36
600,45,3,1,0,0,2,2,0,1006,3,2,0,3,2,0,25
300,35,1,0,0,1,0,2,0,913,0,1,0,0,1,0,8
2100,45,2,0,1,2,0,5,0,1087,1,3,0,1,3,0,96
900,55,1,1,1,2,1,1,0,947,1,1,0,1,1,0,25
2400,45,1,0,0,1,2,6,0,676,0,3,0,0,3,0,92
900,25,2,1,1,0,0,6,0,627,0,2,0,0,2,0,36
1500,15,2,1,1,1,1,2,0,472,1,3,0,1,3,0,183
1200,45,1,0,2,2,1,3,0,1084,0,4,0,0,4,0,60
600,25,1,0,2,0,1,6,0,740,4,3,0,4,3,0,71
1800,25,2,0,0,1,0,2,0,286,1,1,0,2,1,0,108
2700,15,1,0,1,0,4,6,0,651,1,2,0,1,2,0,318
1200,35,1,1,0,2,1,6,0,797,1,2,0,1,2,0,60
1200,25,1,1,2,0,0,4,0,999,1,3,0,1,3,0,86
300,35,3,0,0,1,1,1,0,711,3,1,0,3,1,0,14
1500,15,2,0,0,0,0,1,0,1080,3,1,0,3,2,0,197
1500,45,2,0,2,1,1,2,0,670,0,1,0,0,1,0,37
300,55,4,0,0,1,1,3,0,749,0,1,0,0,1,0,3
2400,45,1,1,2,1,2,0,0,674,0,2,0,0,2,0,77
3000,55,2,0,0,0,0,1,0,961,0,1,0,0,1,0,44
1500,55,2,1,0,0,2,3,0,452,0,2,0,0,2,0,27
600,25,3,0,0,2,2,6,0,588,0,1,0,0,1,0,25
900,35,1,0,3,0,0,0,0,1123,0,0,0,0,0,0,22
300,55,4,1,0,0,0,5,0,501,3,4,0,3,4,0,9
3000,55,2,1,1,0,1,4,0,559,0,3,0,0,2,0,64
1800,35,1,1,3,0,1,1,0,1041,1,2,0,1,2,0,85
2700,35,3,0,0,3,1,1,0,1056,0,3,0,0,3,0,135
900,35,2,1,1,1,0,2,0,427,2,2,0,2,2,0,46
1200,25,1,1,0,0,0,4,0,451,2,4,0,2,4,0,108
1500,55,6,0,1,0,1,4,0,1045,1,3,0,1,3,0,33
2400,25,1,1,2,1,0,6,0,1260,0,1,0,0,1,0,107
600,25,1,0,2,0,0,2,0,821,2,0,0,2,0,0,35
2400,45,1,1,5,1,2,0,0,726,0,2,0,0,3,0,95
2700,35,4,0,1,0,1,2,0,677,1,2,0,1,2,0,96
2100,35,1,1,1,1,2,1,0,351,1,0,0,1,0,0,78
900,15,3,1,3,0,2,0,0,959,1,3,0,1,3,0,100
1200,55,1,0,3,1,3,3,0,889,1,2,0,1,2,0,42
1800,35,2,0,0,2,1,0,0,726,0,3,0,0,3,0,89
300,25,4,0,0,1,1,6,0,886,2,2,0,2,2,0,20
2400,25,1,0,1,1,0,6,0,1171,0,0,0,0,0,0,88
2700,25,7,1,1,0,0,6,0,359,0,0,0,0,0,0,80
600,15,3,1,2,0,1,5,0,622,1,3,0,1,3,0,63
1500,25,1,1,1,2,1,0,0,357,1,0,0,1,0,0,86
3000,25,1,1,2,0,0,5,0,950,0,4,0,0,4,0,210
2100,55,1,1,1,2,2,3,0,449,1,3,0,1,3,1,213
600,15,1,1,2,0,0,6,0,939,1,2,0,1,2,0,62
900,15,2,0,1,1,0,5,0,916,0,2,0,0,2,0,78
2700,25,2,1,2,1,0,0,0,630,1,1,0,1,1,0,142
1500,25,2,0,0,1,3,3,0,950,0,2,0,0,2,0,80
1800,15,1,0,0,2,0,0,0,689,0,0,0,0,0,0,122
600,35,1,1,0,1,1,0,0,640,0,3,0,0,3,0,25
2700,45,4,0,0,1,0,0,0,265,0,0,0,0,0,0,50
1800,45,1,0,2,3,0,6,0,733,1,3,0,1,3,0,98
1500,25,1,1,2,2,0,6,0,396,0,4,0,0,4,0,124
300,25,2,1,1,0,1,6,0,621,0,1,0,0,1,0,9
1500,45,1,1,1,0,3,4,0,704,1,1,0,1,1,0,42
3000,35,2,1,1,3,0,5,0,532,0,3,0,0,3,0,153
2100,55,1,0,0,0,5,4,0,760,0,2,0,0,1,0,48
2100,45,1,1,0,2,1,0,0,546,0,3,0,1,3,0,86
2400,45,1,0,0,0,2,6,0,633,0,1,0,0,0,0,47
1200,55,2,1,1,1,0,0,0,162,1,0,0,1,0,0,25
2700,15,6,1,2,1,1,1,0,565,2,3,0,2,3,0,305
900,15,2,1,1,1,1,2,0,390,1,1,0,1,1,0,76
2400,25,3,0,2,1,0,6,0,609,1,2,0,1,3,0,166
1800,45,1,1,1,1,0,2,0,468,4,4,0,4,4,0,128
1500,55,2,1,1,0,2,0,0,697,0,0,0,0,0,0,21
2400,35,2,0,0,2,1,3,0,519,0,3,0,0,3,0,117
1500,45,3,0,1,1,0,6,0,590,5,3,0,5,3,0,102
1500,35,2,0,1,0,0,0,0,1097,1,1,0,1,1,0,52
1500,35,3,0,1,0,0,6,0,841,1,2,0,1,3,0,64
2100,55,1,1,2,1,0,4,0,302,3,0,0,3,0,0,76
2100,35,5,1,0,2,0,1,0,979,3,2,0,3,2,0,120
1500,35,2,1,1,0,0,5,0,484,0,3,0,0,3,0,55
900,35,2,0,1,0,0,3,0,1097,1,2,0,2,2,0,41
2700,45,2,1,0,1,0,6,0,621,1,1,0,1,1,0,70
2700,35,3,1,0,0,1,1,0,509,0,3,0,0,3,0,85
2400,15,1,0,1,1,1,6,0,813,1,1,0,0,1,0,224
2700,35,5,1,3,0,0,5,0,774,2,1,0,2,1,0,119
600,55,1,1,1,1,2,0,0,675,0,2,0,0,2,0,14
1500,25,2,0,0,0,1,2,0,823,0,0,0,0,0,0,42
2400,55,4,0,0,0,1,1,0,467,2,3,0,2,3,0,77
300,45,4,0,0,1,1,2,0,493,0,1,0,0,1,0,5
2400,25,1,1,1,0,0,1,0,835,1,1,0,1,1,0,117
1800,45,1,0,0,0,1,6,0,724,0,0,0,0,0,0,28
2400,55,3,1,2,2,1,5,0,547,1,3,0,1,3,0,82
1200,45,3,0,0,1,1,4,0,503,0,1,0,0,1,0,23
1500,45,2,0,2,1,2,5,0,1213,1,1,0,1,2,0,54
900,35,1,0,0,0,0,2,0,585,0,1,0,0,1,0,23
2700,25,1,0,1,0,0,0,0,621,0,0,0,0,0,0,81
1800,15,1,0,0,2,0,5,0,890,1,4,0,1,4,0,292
300,35,1,1,0,1,0,4,0,469,2,2,0,2,2,0,14
3000,15,1,0,1,0,2,2,0,893,0,2,0,0,2,0,273
1200,15,1,0,1,0,1,0,0,1092,3,4,0,3,4,0,230
600,15,2,0,0,1,2,0,0,840,0,1,0,0,1,0,42
3000,55,2,1,1,1,2,5,0,489,1,3,0,1,3,0,101
600,25,5,1,1,0,2,6,0,738,1,3,0,2,3,0,34
300,15,3,1,1,0,1,3,0,1046,1,2,0,1,2,0,24
1500,45,1,0,1,0,1,0,0,304,1,0,0,1,0,0,36
600,15,1,0,2,0,0,6,0,437,5,3,0,5,3,0,132
300,15,1,0,1,0,0,5,0,1121,0,0,0,0,1,0,17
900,25,1,0,0,0,0,5,0,1042,2,2,0,2,1,0,62
2400,25,2,0,0,4,3,5,0,874,1,1,0,1,1,0,185
3000,15,1,1,2,1,0,6,0,732,2,2,0,2,2,0,414
1200,55,1,1,0,1,2,6,0,948,0,2,0,0,2,0,27
300,35,2,0,1,0,1,3,0,599,0,2,0,0,2,0,8
900,35,1,0,0,1,0,4,1,490,1,3,0,1,3,0,50
1800,45,4,0,0,1,0,0,0,1069,1,3,0,1,3,0,63
300,55,1,0,1,0,1,1,0,1193,1,0,0,1,1,0,5
2100,55,1,1,0,4,3,5,0,1294,0,0,0,0,0,0,55
1800,15,1,1,0,1,0,2,0,526,0,3,0,0,3,0,182
600,35,1,1,0,0,1,2,0,1006,0,3,0,0,3,0,22
1500,15,2,1,1,2,0,5,0,493,0,3,0,0,3,0,163
2700,35,1,0,0,1,1,3,0,441,0,4,0,0,4,0,151
300,15,1,0,1,0,1,3,0,550,4,4,0,4,4,0,61
300,35,4,1,0,1,1,2,0,417,1,3,0,1,4,0,12
3000,15,1,1,3,2,3,4,0,1243,2,2,0,2,2,0,482
2700,35,1,1,1,0,1,5,0,985,3,4,0,3,4,0,210
1800,55,1,0,3,1,0,6,0,756,2,3,0,2,3,0,82
600,25,1,0,2,0,2,2,0,1049,1,1,0,2,1,0,39
1200,15,4,0,2,1,0,1,0,570,0,2,0,0,2,0,89
600,55,1,1,2,0,1,1,1,738,1,3,0,1,3,0,19
300,35,1,1,1,0,0,3,0,872,1,2,0,1,3,0,12
3000,25,2,0,0,2,0,1,0,453,0,1,0,0,1,0,138
600,45,2,1,0,2,1,0,0,955,1,4,0,1,4,0,29
1500,55,1,1,0,0,0,6,0,848,0,2,0,0,2,0,28
300,45,1,1,0,1,1,0,0,692,0,1,0,0,1,0,6
2400,35,1,1,0,4,1,5,0,363,2,0,0,2,0,0,140
2100,55,2,0,0,0,1,3,0,1076,0,3,0,0,3,0,53
300,55,4,1,0,1,1,6,0,985,1,3,0,1,3,0,6
1800,35,1,1,2,1,0,3,0,1066,0,4,0,0,4,0,99
3000,55,2,0,4,0,2,1,0,967,1,3,0,1,3,0,111
2400,25,3,0,2,2,1,4,0,1113,2,1,0,2,1,0,179
2400,45,3,1,1,3,1,6,0,839,0,2,0,0,3,0,82
300,55,1,1,1,0,1,4,0,1105,0,3,0,0,2,0,5
2700,35,1,0,0,0,0,4,0,382,1,0,0,1,0,0,78
2400,45,1,1,0,1,1,0,0,737,2,0,0,2,0,0,82
300,35,1,1,0,1,0,4,0,1009,0,2,0,0,2,0,9
300,15,3,1,1,0,1,3,0,525,0,2,0,0,2,0,17
2100,15,1,0,1,2,0,6,0,524,0,3,0,0,3,0,266
300,45,3,0,0,1,1,5,0,849,2,1,0,2,1,0,9
2700,35,4,0,2,0,3,5,0,499,0,0,0,0,0,0,70
2400,25,2,0,0,3,0,0,0,1040,0,3,0,0,3,0,179
2400,45,2,0,0,0,0,6,0,526,1,0,0,1,0,0,54
2100,15,2,0,1,0,4,4,0,865,0,2,0,0,2,0,181
300,45,1,1,1,0,0,6,0,515,1,1,0,1,1,0,7
2400,45,2,0,0,1,1,1,0,204,0,2,0,0,2,0,68
2700,45,4,1,2,0,3,3,1,589,0,1,0,1,1,0,64
2100,55,2,1,1,1,1,0,0,529,2,3,0,2,3,0,83
3000,35,1,0,1,3,1,0,0,1133,1,1,0,1,2,0,174
2400,35,1,0,1,1,0,0,0,962,2,2,0,1,1,0,124
900,45,2,0,1,0,1,3,0,389,1,0,0,1,0,0,21
1800,55,8,0,1,3,2,4,0,688,3,1,0,3,1,0,76
2100,15,2,1,0,0,1,1,0,469,0,2,0,0,2,0,137
3000,15,7,0,0,1,1,6,0,463,1,1,0,1,0,0,246
3000,55,1,1,0,0,3,3,0,698,1,0,0,1,0,0,61
600,25,1,0,0,0,0,0,0,978,1,3,0,1,3,0,43
1500,25,1,0,0,2,3,5,0,1042,0,0,0,0,0,0,66
3000,35,6,0,2,0,0,6,0,880,2,2,0,2,2,0,128
1500,15,2,0,0,1,0,1,0,682,1,2,0,1,2,0,160
3000,45,1,1,0,2,2,2,0,803,2,0,0,2,0,0,117
900,25,2,0,1,0,2,4,0,478,1,3,0,1,3,0,65
2400,45,2,1,3,1,5,3,0,340,2,1,0,1,1,0,91
2100,45,2,0,1,0,3,3,0,345,0,2,0,0,2,0,57
2100,25,1,1,1,0,1,3,0,966,2,2,0,2,2,0,156
900,15,1,1,0,1,2,6,0,486,0,2,0,0,2,0,78
300,25,1,1,1,0,1,1,0,455,5,2,0,5,2,0,34
1200,45,1,1,3,1,1,2,0,1201,0,0,0,0,0,0,28
3000,45,5,0,0,2,2,5,0,862,2,3,0,2,2,0,126
1500,55,1,1,0,5,1,6,0,607,0,0,0,0,0,0,41
1200,55,1,0,0,0,0,0,0,1161,1,0,0,1,0,0,21
300,15,3,0,1,0,1,6,0,858,0,0,0,0,0,0,15
3000,45,2,1,0,1,3,6,0,377,1,0,0,1,0,0,85
2400,25,1,0,0,1,1,4,0,526,1,3,0,1,3,0,195
300,25,1,1,1,0,1,4,0,517,1,3,0,1,2,0,19
3000,55,2,0,1,1,0,4,0,445,2,2,0,2,2,0,109
1500,45,5,1,1,1,1,1,0,200,1,0,0,1,0,0,41
900,55,1,0,1,0,1,5,0,581,1,2,0,1,1,0,24
3000,35,2,0,0,0,1,4,0,739,2,1,0,2,1,0,131
3000,35,2,0,1,0,1,3,0,1220,3,0,0,3,0,0,154
1800,15,1,1,0,1,1,4,0,463,1,4,0,1,4,0,259
3000,55,2,1,1,0,2,1,0,433,0,1,0,0,1,0,44
900,25,1,1,1,0,1,0,0,416,2,1,0,2,1,0,56
300,25,2,1,0,1,1,4,0,376,0,0,0,0,0,0,10
2700,45,1,1,0,0,5,4,0,1141,3,0,0,3,0,0,110
2400,45,3,1,1,0,4,1,0,575,1,2,0,1,2,0,72
3000,15,1,1,3,6,1,2,0,522,1,2,0,1,1,0,509
3000,35,2,1,0,1,1,4,0,1001,1,3,0,1,3,0,150
2100,25,2,0,3,0,2,2,0,444,0,3,0,0,3,0,137
1500,55,6,0,0,0,0,6,0,349,0,1,0,0,1,0,18
1500,55,1,1,1,1,1,2,0,583,1,2,0,1,2,0,45
3000,55,2,1,1,4,2,1,0,472,0,1,0,0,1,0,81
1800,45,2,1,0,0,0,3,0,475,0,4,0,0,4,0,59
1800,15,2,0,1,0,0,0,0,883,1,1,0,1,1,0,146
3000,35,1,0,0,0,1,1,0,416,0,4,0,0,4,0,154
900,25,5,0,1,0,0,1,0,1032,3,3,0,3,3,0,72
900,55,1,1,0,2,1,3,0,593,5,1,0,5,1,0,46
2100,15,1,1,0,0,0,0,0,710,2,2,0,2,2,0,247
2400,25,1,0,2,1,1,2,0,550,4,3,0,4,3,0,306
900,35,1,1,2,0,0,2,0,1116,2,0,1,2,0,0,122
3000,15,2,0,0,2,1,2,0,284,0,0,0,0,0,0,212
2100,25,2,0,1,0,2,2,0,754,0,0,0,0,0,0,68
1800,25,3,1,3,2,0,3,0,649,1,3,0,1,3,0,142
3000,15,2,0,1,1,0,3,0,511,2,1,0,2,0,0,320
2400,45,2,1,0,1,2,2,0,1136,0,2,0,0,2,0,63
1800,45,5,1,1,1,2,3,0,872,0,1,0,0,1,0,39
1200,15,1,1,0,0,0,5,0,523,1,1,0,2,1,0,105
300,25,2,1,1,0,1,2,0,605,1,2,0,1,2,0,16
3000,15,1,0,1,2,0,6,0,1247,1,0,0,1,0,0,286
600,15,2,0,0,2,1,3,0,1280,1,0,0,1,0,0,55
1500,35,5,0,0,3,1,4,0,407,1,3,0,1,3,0,78
600,45,1,0,0,0,2,2,0,578,0,1,0,0,1,0,13
1500,15,2,1,0,0,1,2,0,528,1,2,0,1,1,0,119
3000,25,2,1,0,0,0,0,0,475,1,2,0,1,2,0,153
2100,25,3,1,0,0,0,1,0,1047,1,3,0,1,3,0,119
2100,35,1,1,1,0,1,1,1,831,3,2,0,3,1,0,122
1500,45,1,1,2,0,2,4,0,314,2,1,0,2,1,0,55
900,25,1,0,1,0,0,3,0,944,1,3,0,1,3,0,67
1800,15,4,1,1,0,0,0,0,1085,1,2,0,1,1,0,129
300,35,1,1,1,0,1,2,0,414,1,4,0,1,4,0,15
300,45,2,0,0,0,1,1,0,1037,0,2,0,0,3,0,7
2100,15,3,1,3,1,1,4,0,1152,0,1,0,0,1,0,152
3000,25,2,0,1,1,0,4,0,1013,1,1,0,1,1,0,166
2100,55,1,1,0,1,3,6,0,593,0,0,0,0,1,0,36
600,45,2,1,1,0,0,0,0,759,0,3,0,0,3,0,17
2100,55,4,0,0,1,0,4,0,1086,1,2,0,1,2,0,50
1800,35,5,1,0,1,0,3,0,1229,1,2,0,1,2,0,61
1200,55,1,1,1,1,1,5,0,320,0,0,0,0,0,0,19
2100,35,2,0,1,1,1,6,0,714,1,1,0,1,2,0,92
3000,25,3,1,2,1,0,5,1,624,1,1,0,0,0,0,137
1800,25,2,1,1,1,0,0,0,1003,1,3,0,1,3,0,129
1200,35,2,0,0,3,0,2,0,400,3,2,0,3,2,0,88
600,55,1,1,1,1,1,6,0,926,0,2,0,0,2,0,14
2400,25,1,1,0,2,2,5,0,902,1,1,0,1,1,0,149
1200,55,1,1,1,1,1,3,0,1323,1,1,0,1,1,0,29
2400,15,2,1,1,1,1,1,0,1365,2,2,0,2,2,0,305
300,55,1,0,0,1,1,1,0,1015,1,3,0,1,3,0,9
900,55,2,0,0,0,1,2,0,1086,0,3,0,0,3,0,22
3000,15,1,0,1,1,1,3,0,1311,0,0,0,0,0,0,191
3000,15,1,1,0,3,2,5,0,954,2,4,0,2,4,0,578
300,35,2,0,1,0,1,3,0,1007,1,2,0,1,2,0,11
3000,55,2,0,1,2,1,3,0,861,0,2,0,0,2,0,83
1800,15,1,1,1,2,1,4,0,442,1,2,0,1,2,0,222
1200,45,2,1,0,2,3,1,0,422,3,3,1,3,3,0,161
900,35,1,1,0,1,1,2,0,897,3,2,0,3,2,0,57
900,35,1,0,1,1,2,2,0,298,1,0,0,1,0,0,33
1800,45,1,0,0,1,1,3,0,613,1,1,0,1,1,0,59
1800,55,1,0,1,3,0,0,0,1307,2,1,0,2,1,0,71
1500,45,2,1,0,2,1,1,0,621,2,1,0,1,1,0,50
2700,15,4,1,3,1,0,4,0,515,1,2,0,1,2,0,250
600,55,2,1,2,0,0,4,0,969,1,3,0,1,3,0,17
2100,35,2,1,2,1,1,2,0,845,4,0,0,4,0,0,140
1800,15,1,0,1,3,1,2,0,616,0,0,0,0,0,0,154
2400,35,2,0,0,1,1,3,0,885,3,1,0,3,1,0,138
2400,25,3,0,1,2,5,0,0,831,0,2,0,0,2,0,146
1500,15,2,1,0,1,0,6,0,123,4,1,0,5,1,0,238
1500,55,1,1,0,2,1,6,0,565,2,2,0,3,2,0,61
1800,15,1,1,1,0,1,0,0,841,1,2,0,1,2,0,182
2700,15,3,0,0,1,2,4,0,1298,1,0,0,1,0,0,226
2400,15,1,1,1,0,0,0,0,794,0,2,0,0,2,0,185
300,45,2,0,1,0,0,5,0,656,0,3,0,0,3,0,8
1200,25,2,1,0,4,1,3,0,465,0,2,0,0,2,0,78
1500,35,8,0,1,1,0,1,0,828,0,3,0,0,3,0,39
900,25,2,0,1,0,3,4,0,456,1,2,0,2,2,0,62
3000,35,2,1,3,1,1,6,0,792,1,2,0,1,2,0,145
600,15,1,0,0,0,1,1,0,967,0,4,0,0,4,0,71
1500,15,3,1,0,1,2,3,0,408,0,2,0,0,2,0,105
1800,45,1,0,1,2,1,0,0,760,1,2,0,1,2,0,79
900,25,6,0,1,0,0,0,0,1016,1,3,0,1,3,0,43
900,55,2,0,3,0,0,5,0,356,1,0,0,1,0,0,19
600,15,3,1,0,0,1,0,0,324,5,0,0,5,0,0,95
600,45,1,1,1,1,1,0,0,664,0,2,0,0,2,0,18
2400,55,2,1,1,0,3,2,0,570,1,1,0,0,1,0,43
1500,25,1,1,2,1,4,5,0,502,0,2,0,0,2,0,90
900,55,3,1,1,0,0,4,0,545,2,3,0,2,3,0,29
2100,25,1,1,1,0,4,0,0,673,0,1,0,0,1,0,85
1500,15,3,1,0,1,1,5,0,1063,4,2,0,4,2,0,238
3000,45,1,0,1,1,0,1,0,1031,1,1,0,1,1,0,101
1200,45,2,0,0,1,2,2,0,472,1,4,0,1,4,0,58
600,15,2,1,0,2,1,6,0,863,3,1,0,3,1,0,82
300,15,1,0,1,0,0,1,0,332,2,0,0,2,0,0,27
1800,55,1,1,1,1,1,5,0,840,0,2,0,0,3,0,48
600,45,1,1,1,1,1,3,0,467,4,1,0,4,1,0,32
300,35,1,1,1,0,0,0,0,911,5,2,0,5,2,0,21
3000,35,2,1,0,4,2,5,0,887,0,1,0,0,1,0,121
900,55,2,0,2,0,1,1,0,353,1,0,0,1,0,0,19
900,45,2,1,0,0,2,3,0,505,0,2,0,0,2,0,19
2400,35,1,0,0,0,2,1,0,989,1,0,0,0,0,0,62
2700,45,2,0,0,2,3,6,0,896,2,2,0,2,2,0,130
600,45,2,1,0,2,2,6,0,601,0,1,0,0,1,0,14
2400,55,1,0,0,2,1,2,0,1221,1,0,0,1,0,0,59
2400,55,1,0,0,1,2,2,0,1009,3,3,0,3,3,0,117
600,25,1,1,1,0,1,3,0,1082,1,1,0,1,1,0,29
1500,25,1,0,1,0,1,6,0,753,0,0,0,0,0,0,46
1800,35,2,0,1,1,2,5,0,602,3,1,0,3,1,0,110
1800,45,4,0,0,0,1,1,0,994,0,3,0,0,3,0,44
2400,15,1,1,3,0,1,3,0,503,1,2,0,1,2,0,267
1500,25,1,0,5,0,0,0,0,570,3,2,0,3,2,0,152
900,25,3,1,0,3,1,0,0,975,0,2,0,0,2,0,48
600,15,3,0,1,0,1,0,0,878,3,0,0,3,0,0,71
900,25,1,0,1,1,2,2,0,820,0,1,0,0,1,0,44
1200,35,2,1,2,1,1,2,0,1061,0,2,0,0,2,0,43
1800,25,3,0,0,6,2,0,0,682,2,2,0,2,2,0,196
3000,35,3,1,0,0,2,4,0,479,3,2,0,3,2,0,162
1800,45,2,0,1,3,0,5,0,491,3,3,0,3,4,0,123
1200,25,4,1,0,0,4,0,0,978,1,1,0,1,1,0,54
900,55,1,0,0,2,0,5,0,1123,2,1,0,2,1,0,32
600,55,1,1,1,0,2,5,0,399,3,3,0,3,3,0,25
1200,15,2,1,4,0,1,6,0,387,0,0,0,1,1,0,91
2400,45,1,0,2,1,0,0,0,295,1,0,0,1,0,0,70
1500,45,1,0,1,0,1,0,0,581,2,3,0,2,3,0,73
